TIME_PER_HOUR,DAY_TYPE,TAP_IN_MEAN,TAP_IN_25,TAP_IN_75,TAP_OUT_MEAN,TAP_OUT_25,TAP_OUT_75
0.0,WEEKDAY,63.70196396814352,2.6666666666666665,33.5,92.93474058609759,9.0,109.0
0.0,WEEKENDS/HOLIDAY,33.28905217323692,1.6666666666666667,17.0,48.320231708265304,5.333333333333333,56.666666666666664
1.0,WEEKDAY,6.349819553805775,0.0,4.0,14.788303805774278,2.0,15.666666666666666
1.0,WEEKENDS/HOLIDAY,3.2736075407026566,0.0,2.3333333333333335,8.178577549271637,1.5,9.0
2.0,WEEKDAY,2.7268041237113403,0.0,3.0,3.333333333333333,1.0,3.0
2.0,WEEKENDS/HOLIDAY,0.75,0.0,1.0,2.1346153846153846,1.0,2.0
3.0,WEEKDAY,2.92,0.0,4.0,3.74,1.0,4.0
3.0,WEEKENDS/HOLIDAY,2.888888888888889,0.0,3.75,2.7222222222222223,1.0,3.5
4.0,WEEKDAY,32.481735159817354,0.0,3.0,3.3378995433789953,0.0,2.0
4.0,WEEKENDS/HOLIDAY,3.333333333333333,0.0,3.0,1.9233333333333333,0.0,2.0
5.0,WEEKDAY,254.8999643207564,13.0,274.0,139.89015252876638,2.3333333333333335,73.0
5.0,WEEKENDS/HOLIDAY,53.14669128088611,4.0,60.666666666666664,28.40310517845309,0.6666666666666666,14.333333333333334
6.0,WEEKDAY,1029.943555818852,64.66666666666667,1225.4166666666665,793.1491574512902,69.25,681.75
6.0,WEEKENDS/HOLIDAY,159.302270608603,12.0,174.83333333333334,139.04824210946865,11.0,106.33333333333333
7.0,WEEKDAY,1656.0997645673926,129.0,1939.3333333333333,1590.5988816951149,178.0,1548.3333333333333
7.0,WEEKENDS/HOLIDAY,252.93668437274576,25.666666666666668,284.83333333333337,235.9699324545872,28.333333333333332,208.33333333333334
8.0,WEEKDAY,1483.2421803428872,121.66666666666667,1737.0,1605.696440256511,184.41666666666669,1380.3333333333333
8.0,WEEKENDS/HOLIDAY,322.86974762372995,32.333333333333336,382.6666666666667,313.065126188135,38.666666666666664,276.6666666666667
9.0,WEEKDAY,911.982016509434,82.33333333333333,1084.5833333333333,1019.7421383647799,122.25,906.1666666666666
9.0,WEEKENDS/HOLIDAY,349.2318441251722,32.666666666666664,417.3333333333333,342.9172407006495,33.666666666666664,289.6666666666667
10.0,WEEKDAY,708.12656938145,78.0,829.1666666666667,725.8040163018471,81.66666666666667,642.8333333333333
10.0,WEEKENDS/HOLIDAY,367.4523294672695,37.0,446.3333333333333,359.1613590197235,30.5,308.83333333333337
11.0,WEEKDAY,728.0131137842635,101.0,836.6666666666667,714.9585880496943,79.0,642.5
11.0,WEEKENDS/HOLIDAY,381.27818169908954,43.666666666666664,447.3333333333333,377.343878954608,32.0,336.0
12.0,WEEKDAY,811.8579881656805,118.66666666666667,903.25,795.5728139381986,99.0,768.1666666666667
12.0,WEEKENDS/HOLIDAY,399.6662089708382,50.0,449.58333333333337,393.3800836929515,36.333333333333336,368.58333333333337
13.0,WEEKDAY,897.6301189771905,96.0,1000.5,872.7910339840925,115.33333333333333,951.5
13.0,WEEKENDS/HOLIDAY,385.01563624468434,40.83333333333333,402.83333333333337,390.8128557409225,37.666666666666664,389.0
14.0,WEEKDAY,802.5624425174091,91.41666666666666,827.5,830.6743857574562,103.0,923.8333333333334
14.0,WEEKENDS/HOLIDAY,359.2811272584446,38.0,363.3333333333333,363.27834511652264,36.333333333333336,375.3333333333333
15.0,WEEKDAY,859.4643467402734,111.66666666666667,869.5,838.5161014721347,91.91666666666667,926.0
15.0,WEEKENDS/HOLIDAY,357.12928318235527,40.75,352.9166666666667,355.74300905868455,36.333333333333336,372.25
16.0,WEEKDAY,994.5375623850802,155.66666666666666,1043.0,948.1757617546625,101.25,1055.0
16.0,WEEKENDS/HOLIDAY,375.69043380801685,47.666666666666664,374.41666666666663,369.3512328586498,38.333333333333336,383.0833333333333
17.0,WEEKDAY,1416.7674129353234,235.5,1483.9166666666665,1270.6669285153182,126.58333333333334,1349.0833333333333
17.0,WEEKENDS/HOLIDAY,409.4981543734757,58.333333333333336,414.3333333333333,403.487146529563,44.0,414.0
18.0,WEEKDAY,1631.0656456574382,214.0,1514.6666666666667,1645.5589043785587,157.0,1798.6666666666667
18.0,WEEKENDS/HOLIDAY,398.27876513954715,48.333333333333336,380.3333333333333,405.19898630858347,46.333333333333336,428.3333333333333
19.0,WEEKDAY,1135.2141267347472,132.0,922.8333333333333,1296.524384655669,137.58333333333331,1533.0
19.0,WEEKENDS/HOLIDAY,353.47535141556125,42.0,308.3333333333333,366.3854022305814,46.333333333333336,408.16666666666663
20.0,WEEKDAY,780.4635375494071,75.0,587.5833333333334,832.6786561264822,83.91666666666667,986.75
20.0,WEEKENDS/HOLIDAY,304.38134471576996,27.0,226.66666666666666,313.9017603070611,36.666666666666664,368.6666666666667
21.0,WEEKDAY,674.3665592697007,51.083333333333336,467.9166666666667,694.2640958517921,69.33333333333333,839.8333333333334
21.0,WEEKENDS/HOLIDAY,279.12747666062194,19.0,182.66666666666666,284.3343743703405,32.333333333333336,344.83333333333337
22.0,WEEKDAY,490.44161444646585,30.0,313.5,543.7842800350381,49.0,645.6666666666666
22.0,WEEKENDS/HOLIDAY,221.91036272923407,12.666666666666666,135.91666666666666,241.9616707119741,23.333333333333332,287.75
23.0,WEEKDAY,246.36561776324749,12.666666666666666,144.66666666666666,295.74570903146713,25.333333333333332,346.6666666666667
23.0,WEEKENDS/HOLIDAY,119.835482330468,5.666666666666667,67.33333333333333,143.76739664347113,13.0,166.66666666666666
