ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
193,10,53.49,"[12, 13, 14, 15, 16, 18, 20, 21, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 38, 40, 43]",60.47,"[32, 31, 29, 28, 27, 26, 25, 23, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 8, 7, 6, 5, 4, 3, 1]",53.49,"[12, 13, 14, 15, 16, 18, 20, 21, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 38, 40, 43]",60.47,"[32, 31, 29, 28, 27, 26, 25, 23, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 8, 7, 6, 5, 4, 3, 1]",60.47,"[11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 40, 43]",60.47,"[32, 31, 29, 28, 27, 26, 25, 23, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 8, 7, 6, 5, 4, 3, 1]"
194,10,37.5,"[9, 10, 11]",0.0,[],37.5,"[9, 10, 11]",0.0,[],37.5,"[9, 10, 11]",0.0,[]
195,10,0.0,[],0.0,[],0.0,[],0.0,[],1.45,[2],0.0,[]
195A,10,0.0,[],0.0,[],0.0,[],0.0,[],1.79,[2],0.0,[]
196,10,2.94,"[20, 60]",0.0,[],1.47,[60],0.0,[],2.94,"[20, 60]",0.0,[]
196A,10,2.94,[20],0.0,[],0.0,[],0.0,[],2.94,[20],0.0,[]
197,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
198,10,2.27,[16],2.27,[29],2.27,[16],2.27,[29],0.0,[],2.27,[29]
199,10,14.81,"[13, 14, 16, 22]",0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
2,10,2.9,"[6, 22]",6.45,"[57, 56, 54, 41]",2.9,"[6, 22]",6.45,"[57, 56, 54, 41]",5.8,"[6, 22, 23, 24]",4.84,"[57, 54, 41]"
20,10,6.82,"[15, 23, 30]",0.0,[],9.09,"[15, 23, 29, 30]",0.0,[],6.82,"[15, 29, 30]",0.0,[]
200,10,11.11,"[9, 10, 35, 36, 38]",0.0,[],8.89,"[9, 10, 36, 38]",0.0,[],13.33,"[8, 9, 10, 36, 37, 38]",0.0,[]
200A,10,8.7,"[9, 10]",0.0,[],8.7,"[9, 10]",0.0,[],13.04,"[8, 9, 10]",0.0,[]
201,10,0.0,[],0.0,[],2.63,[15],0.0,[],2.63,[15],0.0,[]
20A,10,9.52,"[8, 16]",0.0,[],9.52,"[8, 16]",0.0,[],4.76,[8],0.0,[]
21,10,1.47,[68],1.49,[5],1.47,[68],1.49,[5],0.0,[],0.0,[]
22,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
222,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
222B,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
229,10,4.17,[14],0.0,[],0.0,[],0.0,[],4.17,[14],0.0,[]
23,10,,,,,,,,,,,,
235,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
24,10,0.0,[],0.0,[],0.0,[],0.0,[],2.0,"[40, 61]",0.0,[]
240,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
240M,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
242,10,0.0,[],0.0,[],6.67,[12],0.0,[],6.67,[12],0.0,[]
246,10,4.44,"[4, 7]",0.0,[],4.44,"[4, 7]",0.0,[],6.67,"[4, 7, 37]",0.0,[]
247,10,76.47,"[1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 35, 37, 38, 39, 40, 41, 43, 44, 46, 47, 49, 51]",0.0,[],78.43,"[1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 35, 37, 38, 39, 40, 41, 43, 44, 46, 47, 48, 49, 51]",0.0,[],78.43,"[1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 35, 37, 38, 39, 40, 41, 43, 44, 46, 47, 48, 49, 51]",0.0,[]
248,10,56.25,"[1, 3, 4, 5, 7, 8, 9, 10, 13, 14, 19, 20, 23, 25, 26, 28, 29, 32]",0.0,[],62.5,"[1, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 19, 20, 23, 24, 25, 26, 28, 29, 32]",0.0,[],59.38,"[1, 3, 4, 5, 7, 8, 9, 10, 13, 14, 19, 20, 23, 24, 25, 26, 28, 29, 32]",0.0,[]
248M,10,57.58,"[1, 3, 4, 5, 7, 8, 9, 10, 13, 14, 15, 20, 21, 24, 26, 27, 29, 30, 33]",0.0,[],63.64,"[1, 3, 4, 5, 7, 8, 9, 10, 12, 13, 14, 15, 20, 21, 24, 25, 26, 27, 29, 30, 33]",0.0,[],60.61,"[1, 3, 4, 5, 7, 8, 9, 10, 13, 14, 15, 20, 21, 24, 25, 26, 27, 29, 30, 33]",0.0,[]
249,10,57.89,"[3, 4, 6, 7, 8, 9, 11, 12, 14, 15, 16, 19, 20, 21, 22, 23, 24, 27, 30, 32, 33, 36]",0.0,[],55.26,"[3, 4, 6, 7, 8, 9, 11, 12, 14, 15, 16, 19, 20, 21, 22, 23, 27, 30, 32, 33, 36]",0.0,[],57.89,"[3, 4, 6, 7, 8, 9, 11, 12, 15, 16, 18, 19, 20, 21, 22, 23, 24, 27, 30, 32, 33, 36]",0.0,[]
249A,10,64.71,"[3, 4, 6, 7, 8, 9, 11, 12, 14, 15, 16]",0.0,[],64.71,"[3, 4, 6, 7, 8, 9, 11, 12, 14, 15, 16]",0.0,[],58.82,"[3, 4, 6, 7, 8, 9, 11, 12, 15, 16]",0.0,[]
25,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
251,10,34.38,"[3, 4, 11, 13, 14, 16, 17, 18, 19, 20, 30]",0.0,[],34.38,"[3, 4, 11, 12, 13, 14, 16, 17, 18, 19, 30]",0.0,[],40.62,"[3, 4, 8, 11, 12, 13, 14, 16, 17, 18, 19, 20, 30]",0.0,[]
252,10,43.24,"[5, 10, 11, 12, 15, 16, 20, 21, 22, 23, 25, 26, 27, 28, 30, 33]",0.0,[],35.14,"[5, 10, 15, 16, 21, 22, 23, 25, 26, 27, 28, 30, 33]",0.0,[],43.24,"[4, 5, 10, 11, 12, 15, 16, 21, 22, 23, 25, 26, 27, 28, 30, 33]",0.0,[]
253,10,62.5,"[2, 3, 4, 5, 8, 9, 10, 11, 14, 15, 16, 17, 18, 21, 22]",0.0,[],54.17,"[2, 4, 5, 7, 8, 9, 10, 11, 14, 16, 17, 18, 21]",0.0,[],62.5,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 21]",0.0,[]
254,10,68.75,"[2, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 25, 26, 28, 29, 30, 31, 32, 34]",0.0,[],68.75,"[2, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 25, 26, 28, 29, 30, 31, 32, 34]",0.0,[],71.88,"[2, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 25, 26, 27, 28, 29, 30, 31, 32, 34]",0.0,[]
255,10,33.33,"[2, 8, 9, 10, 11, 12, 14, 15]",0.0,[],37.5,"[2, 8, 9, 10, 11, 12, 13, 14, 15]",0.0,[],37.5,"[2, 5, 8, 9, 10, 11, 12, 14, 15]",0.0,[]
257,10,74.36,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 31, 34, 35, 36, 37]",0.0,[],71.79,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 31, 34, 36, 37]",0.0,[],69.23,"[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 31, 34, 36, 37]",0.0,[]
258,10,9.76,"[2, 3, 4, 5]",0.0,[],7.32,"[2, 3, 4]",0.0,[],12.2,"[2, 3, 4, 5, 36]",0.0,[]
26,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
261,10,,,,,,,,,,,,
262,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
265,10,0.0,[],0.0,[],4.65,"[1, 43]",0.0,[],4.65,"[1, 43]",0.0,[]
268,10,2.08,[22],0.0,[],4.17,"[1, 49]",0.0,[],8.33,"[1, 22, 28, 49]",0.0,[]
268A,10,4.0,[22],0.0,[],4.0,[1],0.0,[],8.0,"[1, 22]",0.0,[]
268C,10,,,,,,,,,,,,
27,10,0.0,[],0.0,[],0.0,[],0.0,[],,,,
28,10,1.72,[47],0.0,[],1.72,[47],0.0,[],1.72,[47],0.0,[]
282,10,0.0,[],0.0,[],,,,,0.0,[],0.0,[]
285,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
29,10,31.48,"[17, 19, 20, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 35, 44, 45]",0.0,[],31.48,"[17, 19, 20, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 35, 44, 45]",0.0,[],29.63,"[17, 20, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 35, 44, 45]",0.0,[]
291,10,,,,,,,,,,,,
292,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
293,10,,,,,,,,,,,,
296,10,10.0,"[7, 14]",0.0,[],10.0,"[7, 14]",0.0,[],10.0,"[7, 14]",0.0,[]
298,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
2B,10,6.06,"[6, 22]",0.0,[],6.06,"[6, 22]",0.0,[],12.12,"[6, 22, 23, 24]",0.0,[]
3,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
30,10,2.6,"[24, 66]",1.33,[55],2.6,"[24, 66]",1.33,[55],3.9,"[23, 24, 66]",1.33,[55]
301,10,,,,,,,,,,,,
302,10,0.0,[],0.0,[],4.55,[4],0.0,[],4.55,[4],0.0,[]
307,10,3.12,[11],0.0,[],3.12,[11],0.0,[],3.12,[11],0.0,[]
307A,10,5.56,[11],0.0,[],5.56,[11],0.0,[],5.56,[11],0.0,[]
307T,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
30e,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
31,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
315,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
317,10,15.62,"[10, 14, 18, 20, 22]",0.0,[],9.38,"[10, 18, 20]",0.0,[],12.5,"[10, 18, 20, 22]",0.0,[]
31A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
32,10,5.0,"[7, 10, 56]",1.75,[51],5.0,"[7, 10, 56]",3.51,"[51, 48]",5.0,"[7, 10, 56]",5.26,"[53, 51, 48]"
325,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
329,10,8.33,"[15, 16]",0.0,[],4.17,[15],0.0,[],4.17,[15],0.0,[]
33,10,3.12,"[8, 59]",0.0,[],3.12,"[8, 59]",0.0,[],3.12,"[8, 59]",0.0,[]
333,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
335,10,6.45,"[5, 27]",0.0,[],6.45,"[5, 27]",0.0,[],3.23,[5],0.0,[]
33A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
33B,10,5.56,[8],0.0,[],5.56,[8],0.0,[],5.56,[8],0.0,[]
34,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
34A,10,,,,,,,,,,,,
34B,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
35,10,14.29,"[10, 11, 15, 29, 30]",0.0,[],11.43,"[10, 15, 29, 30]",0.0,[],8.57,"[10, 15, 30]",0.0,[]
354,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
35M,10,20.0,"[10, 11, 14, 15]",0.0,[],15.0,"[10, 14, 15]",0.0,[],10.0,"[10, 15]",0.0,[]
36,10,1.64,[4],0.0,[],1.64,[4],0.0,[],3.28,"[4, 23]",0.0,[]
36A,10,3.03,[4],0.0,[],3.03,[4],0.0,[],6.06,"[4, 23]",0.0,[]
36B,10,0.0,[],0.0,[],0.0,[],0.0,[],1.96,[19],0.0,[]
37,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
374,10,5.26,[10],0.0,[],5.26,[10],0.0,[],5.26,[10],0.0,[]
38,10,0.0,[],0.0,[],0.0,[],0.0,[],3.45,[18],3.45,[12]
381,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
382,10,7.14,[8],7.14,[11],7.14,[8],7.14,[11],7.14,[8],7.14,[11]
382A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
382G,10,6.67,[8],0.0,[],6.67,[8],0.0,[],6.67,[8],0.0,[]
382W,10,6.67,[12],0.0,[],6.67,[12],0.0,[],6.67,[12],0.0,[]
384,10,21.43,"[4, 9, 12]",0.0,[],21.43,"[4, 9, 12]",0.0,[],21.43,"[4, 9, 12]",0.0,[]
386,10,5.0,[13],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
386A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
39,10,4.88,"[1, 34]",7.14,"[42, 8, 6]",4.88,"[1, 34]",7.14,"[42, 8, 6]",4.88,"[1, 34]",7.14,"[42, 8, 6]"
3A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
4,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
40,10,1.61,[58],0.0,[],1.61,[58],0.0,[],1.61,[58],0.0,[]
400,10,42.86,"[7, 8, 9, 10, 11, 12, 15, 18, 19]",0.0,[],42.86,"[7, 8, 9, 10, 11, 12, 15, 18, 19]",0.0,[],47.62,"[7, 8, 9, 10, 11, 12, 15, 16, 18, 19]",0.0,[]
401,10,2.27,[41],0.0,[],2.27,[41],0.0,[],2.27,[41],0.0,[]
403,10,30.43,"[7, 9, 10, 12, 13, 14, 15]",0.0,[],30.43,"[7, 9, 10, 12, 13, 14, 15]",0.0,[],30.43,"[7, 9, 10, 12, 13, 14, 15]",0.0,[]
405,10,31.43,"[7, 8, 10, 19, 20, 23, 24, 26, 28, 29, 30]",0.0,[],28.57,"[7, 8, 10, 19, 20, 23, 24, 26, 28, 29]",0.0,[],28.57,"[7, 8, 10, 19, 20, 23, 24, 26, 28, 29]",0.0,[]
41,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
410G,10,4.17,[6],0.0,[],4.17,[6],0.0,[],4.17,[6],0.0,[]
410W,10,4.55,[17],0.0,[],4.55,[17],0.0,[],4.55,[17],0.0,[]
42,10,22.73,"[2, 7, 15, 17, 20]",0.0,[],22.73,"[2, 7, 15, 17, 20]",0.0,[],22.73,"[2, 7, 15, 17, 20]",0.0,[]
43,10,,,,,,,,,,,,
43e,10,0.0,[],6.45,"[17, 15]",0.0,[],6.45,"[17, 15]",0.0,[],6.45,"[17, 15]"
45,10,2.17,[43],2.04,[7],4.35,"[43, 48]",4.08,"[7, 1]",4.35,"[43, 48]",4.08,"[7, 1]"
46,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
47,10,0.0,[],0.0,[],1.96,[48],0.0,[],1.96,[48],0.0,[]
48,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
49,10,5.88,"[6, 9, 46]",0.0,[],5.88,"[6, 9, 46]",0.0,[],5.88,"[6, 9, 46]",0.0,[]
5,10,1.67,[8],1.69,[53],1.67,[8],1.69,[53],1.67,[8],1.69,[53]
50,10,0.0,[],2.13,[27],0.0,[],2.13,[27],0.0,[],2.13,[27]
502,10,2.56,"[1, 89]",0.0,[],2.56,"[1, 89]",0.0,[],2.56,"[1, 89]",0.0,[]
502A,10,3.12,[1],0.0,[],3.12,[1],0.0,[],3.12,[1],0.0,[]
50A,10,3.12,[20],0.0,[],3.12,[20],0.0,[],3.12,[20],0.0,[]
51,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
513,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
518,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
518A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
52,10,4.44,"[19, 20]",2.27,[26],4.44,"[19, 20]",2.27,[26],4.44,"[19, 20]",2.27,[26]
53,10,4.71,"[22, 23, 24, 69]",0.0,[],4.71,"[22, 23, 24, 69]",0.0,[],3.53,"[22, 23, 24]",0.0,[]
53A,10,0.0,[],0.0,[],0.0,[],0.0,[],,,,
54,10,4.55,"[14, 18]",2.44,[28],2.27,[14],2.44,[28],2.27,[14],2.44,[28]
55,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
55B,10,,,,,,,,,,,,
56,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],3.57,[2]
57,10,2.04,[34],2.04,[19],2.04,[34],2.04,[19],4.08,"[33, 34]",2.04,[19]
58,10,4.26,"[33, 34]",0.0,[],4.26,"[33, 34]",0.0,[],4.26,"[33, 34]",0.0,[]
58A,10,7.41,"[21, 22]",0.0,[],7.41,"[21, 22]",0.0,[],7.41,"[21, 22]",0.0,[]
58B,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
59,10,4.0,"[46, 47]",2.04,[6],4.0,"[46, 47]",2.04,[6],2.0,[47],2.04,[6]
6,10,6.67,"[12, 19]",0.0,[],6.67,"[12, 19]",0.0,[],3.33,[19],0.0,[]
61,10,2.13,"[25, 34]",2.22,"[68, 62]",2.13,"[25, 34]",2.22,"[68, 62]",2.13,"[25, 34]",2.22,"[68, 62]"
62,10,2.27,"[8, 9]",0.0,[],2.27,"[8, 9]",0.0,[],2.27,"[8, 9]",0.0,[]
62A,10,4.88,"[8, 9]",0.0,[],4.88,"[8, 9]",0.0,[],4.88,"[8, 9]",0.0,[]
63,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
63A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
63M,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
64,10,1.22,[44],0.0,[],1.22,[44],0.0,[],0.0,[],0.0,[]
65,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
651,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
652,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
653,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
654,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
655,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
656,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
657,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
66,10,4.55,"[5, 41]",0.0,[],4.55,"[5, 41]",0.0,[],2.27,[5],0.0,[]
660,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
661,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
663,10,0.0,[],4.35,[21],0.0,[],4.35,[21],0.0,[],0.0,[]
665,10,0.0,[],4.35,[12],0.0,[],4.35,[12],0.0,[],4.35,[12]
666,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
